tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
CAS,CMP,4,110,450,2021,miroslava,80000,https://homezz.ro/casa-4-camere-individuala-cu-470mp-curte-valea-ursului-2177052.html
CAS,CMP,4,110,270,2020,popas-pacurari,80000,https://homezz.ro/vila-cu-4-camere-280mp-teren-popas-pacurari-2128038.html
CAS,CMP,4,110,460,2021,lunca-cetatuii,94000,https://homezz.ro/casa-cu-4-camere-beci-zona-lunca-cetatuii-2406482.html
CAS,CMP,5,120,480,2015,visani,159000,https://homezz.ro/vila-individuala-spatioasa-in-zona-bucium-visani-2455842.html
CAS,CMP,4,118,620,2017,valea-adanca,150000,https://homezz.ro/vila-mobilata-si-utilata-cu-620mp-teren-2411516.html
CAS,CMP,5+,300,407,2017,valea-adanca,195000,https://homezz.ro/vila-pemansarda-valea-adanca-sup-utila-300-pfizica-881978.html
CAS,CMP,4,92,350,1960,tatarasi,76000,https://homezz.ro/casa-tatarasi-aviatiei-2490689.html
CAS,CMP,4,100,250,2020,valea-adanca,85000,https://homezz.ro/vila-4-camere-incalzire-pardoseala-acces-asfaltatvalea-ad-2098465.html
CAS,CMP,5,180,450,2002,bucium,115000,https://homezz.ro/vila-eleganta-pem-barnova-pietrarie-2403645.html
CAS,CMP,4,116,280,2021,popas-pacurari,96000,https://homezz.ro/vila-4-camere-constructie-cadre-popas-pacurari-2165231.html
CAS,CMP,3,85,400,2020,miroslava,75000,https://homezz.ro/casa-individuala-imprejmuita-de-natura-1870089.html
CAS,CMP,2,97,341,1967,bd.independentei,135000,https://homezz.ro/corp-casa-langa-bd-independentei-umf-parterdemisol-garaj-2471885.html
CAS,CMP,5+,400,350,2006,tatarasi,400000,https://homezz.ro/casa-400mp-utili-tatarasi-strada-ciric-2264138.html
CAS,CMP,5,125,700,2021,miroslava,115000,https://homezz.ro/comision-0-casa-individuala-miroslava-125-mp-700mp-teren-2335745.html
CAS,CMP,4,102,400,2020,valea-adanca,110000,https://homezz.ro/casa-individuala-4-camere-valea-adanca-102-mp-2282810.html
CAS,CMP,4,110,430,2021,miroslava,105000,https://homezz.ro/ansamblu-case-individuale-cochete-si-spatioase-2471560.html
CAS,CMP,4,118,400,2020,popas-pacurari,110000,https://homezz.ro/vila-4-camere-popaspacurari-2471032.html
CAS,CMP,4,100,250,2020,bucium,105000,https://homezz.ro/casa-tip-duplex-4-camere-bucium-casa-boiereasca-2098509.html
CAS,CMP,4,115,513,2021,valea-adanca,135000,https://homezz.ro/vila-4-camere-cu-incalzire-prin-pardoseala-500mp-teren-vale-2098492.html
CAS,CMP,3,75,400,2021,miroslava,75000,https://homezz.ro/casa-3-camere-400mp-teren-horpaz-cu-canalizare-2098505.html
CAS,CMP,4,107,360,2020,popas-pacurari,129000,https://homezz.ro/vila-cu-4-camere-incalzire-prin-pardoseala-locatie-aerisit-2121425.html
CAS,CMP,3,84,270,2020,miroslava,70000,https://homezz.ro/casa-tip-duplex-3-camere-cu-posibilitatea-de-mansardare-2098511.html
CAS,CMP,3,146,350,2020,galata,140000,https://homezz.ro/casa-galata-langa-platoul-insorit-2165635.html
CAS,CMP,3,96,300,2020,miroslava,52000,https://homezz.ro/casa-miroslava-din-2020-2449642.html
CAS,CMP,3,96,150,2020,miroslava,52000,https://homezz.ro/casa-tip-duplex-96mp-miroslava-vorovesti-52000-euro-2490842.html
CAS,CMP,4,110,350,2020,popas-pacurari,95000,https://homezz.ro/duplex-4-camere-cu-incalzire-prin-pardoseala-zona-popas-pa-2234960.html
CAS,CMP,4,125,550,2021,valea-adanca,150000,https://homezz.ro/vila-spatioasa-cu-vedere-spre-oras-2167747.html
CAS,CMP,4,110,460,2021,valea-adanca,122000,https://homezz.ro/o-casa-altfel-design-si-compartimentare-deosebite-2137384.html
CAS,CMP,4,115,500,2021,valea-adanca,125000,https://homezz.ro/vila-4-camere-pe-440mp-teren-valea-adanca-2098539.html
CAS,CMP,4,100,205,2021,visani,85000,https://homezz.ro/casa-cu-arhitectura-cubica-bucium-visan-2408158.html
CAS,CMP,3,90,250,2018,miroslava,84000,https://homezz.ro/casa-cu-3-cameremobilata-si-utilata-la-1km-de-primaria-miro-2282266.html
CAS,CMP,3,85,418,2021,miroslava,71900,https://homezz.ro/case-individuale-3-camere-la-asflat-teren-curte-2362019.html
CAS,CMP,3,85,420,2021,miroslava,71900,https://homezz.ro/casa-plan-parter-la-asfalt-3-camere-2385614.html
CAS,CMP,3,85,418,2021,miroslava,71900,https://homezz.ro/case-cu-3-camere-plan-parter-teren-curte-420mp-2362046.html
CAS,CMP,3,85,418,2021,miroslava,71900,https://homezz.ro/case-individuale-3-camere-incalzire-prin-pardoseala-2004006.html
CAS,CMP,3,75,350,2021,miroslava,75000,https://homezz.ro/casa-individuala-3-camere-si-500mp-curte-2370932.html
CAS,CMP,3,77,500,2021,miroslava,69210,https://homezz.ro/comision-0-casa-individuala-valea-ursului-7690-mp-500mp-2371494.html
CAS,CMP,3,85,200,2020,bucium,75000,https://homezz.ro/vila-tip-duplex-3-camere-2-bai-terasa-amenajatabarnovai-2448640.html
CAS,CMP,4,141,365,2020,valea-adanca,135000,https://homezz.ro/vila-4-cam2bai-141mpu365mp-terenvalea-adanca-5-drumuri-2469245.html
CAS,CMP,4,140,400,1976,tatarasi,154500,https://homezz.ro/oportunitate-casa-4-camere-tatarasi-400-mp-teren-2447867.html
CAS,CMP,5,120,500,2021,bucium,125000,https://homezz.ro/casa-eleganta-model-deosebit-barnova-5-camere-120mp-2449219.html
CAS,CMP,3,120,500,2021,valea-adanca,115000,https://homezz.ro/casa-spatioasa-valea-adanca-3-camere-si-garaj-120mp-11500-2448802.html
CAS,CMP,4,120,515,2021,bucium,125000,https://homezz.ro/casa-eleganta-si-spatioasa-barnova-4-cam-120mp-125000-2449009.html
CAS,CMP,3,96,300,2020,miroslava,52000,https://homezz.ro/casa-valea-ursului-2448763.html
CAS,CMP,5+,410,900,2008,frumoasa,240000,https://homezz.ro/casa-dpem-zona-cetatuia-240000-euro-2489260.html
CAS,CMP,3,86,380,2020,miroslava,5000,https://homezz.ro/casa-de-3-camere-pe-cadre-de-beton-an-2020-miroslava-2489435.html
CAS,CMP,5+,410,900,2008,frumoasa,240000,https://homezz.ro/casa-din-caramida-foarte-spatioasa-3-etaje-zona-cetatuii-2489344.html
CAS,CMP,5,150,370,1990,central,250000,https://homezz.ro/casa-p1m-zona-centru-fundatie-250000-euro-2489256.html
CAS,CMP,4,165,500,2021,bucium,159000,https://homezz.ro/vila-si-locatie-deosebita-materiale-de-calitate-159000-2489454.html
CAS,CMP,5+,410,900,2008,frumoasa,240000,https://homezz.ro/casa-7-camere-cetatuia-iasi-2489342.html
CAS,CMP,5,160,480,2014,valea-adanca,149000,https://homezz.ro/vila-160mp-cu-500mp-teren-valea-adanca-spate-t-neculai-2407625.html
CAS,CMP,3,81,405,2021,lunca-cetatuii,69800,https://homezz.ro/casa-lunca-cetatuii-2447009.html
CAS,CMP,4,90,200,2019,valea-adanca,89000,https://homezz.ro/casa-pepinierei-valea-adanca-miroslava-2487257.html
CAS,CMP,4,101,415,2020,valea-adanca,98000,https://homezz.ro/casa-4-camere-zona-linistita-suprafata-utila-101-m-98000-2487264.html
CAS,CMP,4,110,450,2021,bucium,23543,https://homezz.ro/crezidence-village-bucium-2444524.html
CAS,CMP,4,90,200,2019,valea-adanca,89000,https://homezz.ro/casa-pepinierei-valea-adanca-miroslava-2487247.html
CAS,CMP,4,120,700,2021,podis-beldiman,120000,https://homezz.ro/vila-cu-cces-pe-la-rond-pacurari-120-mp-utili-700-mp-teren-2487111.html
CAS,CMP,5,240,2500,2018,popas-pacurari,350000,https://homezz.ro/vila-spm-5-camere-240mp-in-popas-pacurari-2442291.html
CAS,CMP,4,107,350,2020,popas-pacurari,97000,https://homezz.ro/vila-individuala-4-camere-incalzire-prin-pardoseala-finali-2165230.html
CAS,CMP,5,174,685,2021,valea-adanca,150000,https://homezz.ro/comision-0-valea-adanca-casa-noua-685-mp-teren-2467785.html
CAS,CMP,4,120,550,2021,miroslava,129000,https://homezz.ro/vila-deosebita4-camere-120mpvalea-ursului-2467356.html
CAS,CMP,4,109,524,2021,miroslava,130000,https://homezz.ro/vila-4-camere2-bai109mputeren-524mpmiroslavaiasi-2467282.html
CAS,CMP,5,112,300,2019,bucium,99500,https://homezz.ro/casa-5-camere-semineu-cu-panorama-superba-1966927.html
CAS,CMP,4,310,912,2017,visani,140000,https://homezz.ro/casa-pmbeci-hlincea-310mp-utili-912mp-teren-mansarda-2487942.html
CAS,CMP,4,108,440,2021,miroslava,105000,https://homezz.ro/casa-individuala-in-miroslava-cu-4-camere-si-440-mp-teren-2320638.html
CAS,CMP,4,100,270,2020,popas-pacurari,97000,https://homezz.ro/video-casa-tip-duplex-105-mp-270-mp-teren-popas-pacurari-2127460.html
CAS,CMP,3,100,200,2021,bucium,89990,https://homezz.ro/casa-3-camere-bucium-2488434.html
CAS,CMP,4,100,500,2021,aeroport,82900,https://homezz.ro/casa-calduroasa-pe-plan-parter-situata-in-aroneanu-2488616.html
CAS,CMP,3,121,200,2021,bucium,90000,https://homezz.ro/bucium-locuinta-noua-cu-3-camere-100-mp-utili-terase-2487980.html
CAS,CMP,4,134,600,2020,aeroport,96000,https://homezz.ro/casa-finalizata-in-apropiere-baza-sportiva-dorobant-2488642.html
CAS,CMP,4,150,500,2019,copou,170000,https://homezz.ro/casa-4-camere-plus-anexa-si-beci-2488670.html
CAS,CMP,5+,350,450,2021,popas-pacurari,275000,https://homezz.ro/vila-deosebita-cu-garaj-pacurari-valea-lupului-carrefour-era-2475952.html
CAS,CMP,3,115,620,2010,copou,109500,https://homezz.ro/casa-in-breazu-semi-mobilata-gradina-amenajata-2488681.html
CAS,CMP,4,120,410,2021,copou,103000,https://homezz.ro/casa-4-cam-in-breazu-incalzire-in-pardoseala-2488743.html
CAS,CMP,3,85,420,2021,miroslava,71900,https://homezz.ro/casa-plan-parter-3-camere-living-spatios-2385528.html
CAS,CMP,3,92,924,2006,nord-est,55000,https://homezz.ro/casa-osoi-comarna-2488919.html
CAS,CMP,3,85,420,2021,miroslava,71900,https://homezz.ro/casa-plan-parter-teren-curte-incalzire-in-pardoseala-2385604.html
CAS,CMP,3,85,418,2021,miroslava,71900,https://homezz.ro/case-individuale-la-asfalt-plan-parter-420mp-teren-1947867.html
CAS,CMP,3,85,420,2021,miroslava,71900,https://homezz.ro/casa-plan-parter-incalzire-in-pardoseala-3-camere-2385543.html
CAS,CMP,3,85,418,2021,miroslava,71900,https://homezz.ro/case-plan-parter-420mp-teren-curte-incalzire-in-pardoseala-2361993.html
CAS,CMP,4,110,250,2017,miroslava,89000,https://homezz.ro/casa-tip-duplex-horpaz-miroslava-iasi-2433523.html
CAS,CMP,5,160,705,2016,valea-adanca,185000,https://homezz.ro/vila-valea-adanca-iasi-2190665.html
CAS,CMP,3,80,460,2020,visani,77000,https://homezz.ro/casa-in-stil-mediteranean-2223163.html
CAS,CMP,5,149,200,2021,bucium,105000,https://homezz.ro/casa-cu-priveliste-de-vis-in-bucium-3-camere-mansarda-2391679.html
CAS,CMP,4,120,350,2021,popas-pacurari,165000,https://homezz.ro/case-in-complex-de-lux-in-valea-lupului-cu-acces-de-la-asfa-2487047.html
CAS,CMP,4,100,330,2020,popas-pacurari,95000,https://homezz.ro/casa-single-4-camere-100-mp-utili-v-lupului-comision-0-2027593.html
CAS,CMP,5+,100,220,2020,valea-adanca,75000,https://homezz.ro/duplex-p1e-valea-adanca-100-mp-2198085.html
CAS,CMP,5+,200,300,2010,sararie,310000,https://homezz.ro/casa-sararie-albinet-2111887.html
CAS,CMP,5,125,500,2020,bucium,139500,https://homezz.ro/vile-5-camere-cu-vedere-superba-spre-oras-2063568.html
CAS,CMP,4,113,210,2020,galata,130000,https://homezz.ro/vila-galata-la-5-min-de-belvedere-0-comision-2201580.html
CAS,CMP,4,120,200,2020,copou,160000,https://homezz.ro/copousadoveanucasa-4-camere-d120mp-utili2-baila-cheie-2132514.html
CAS,CMP,4,200,1800,2018,pacurari,350000,https://homezz.ro/casa-4-cam-mobilata-utilata-200m-de-la-e58-adresa-pe-iasi-2368062.html
CAS,CMP,5,95,115,2020,cug,87000,https://homezz.ro/casa-pe-un-singur-nivel-valea-adanca-comision-0-2174243.html
CAS,CMP,3,100,175,2006,tatarasi,110000,https://homezz.ro/casa-single-3-camere-100-mp-tatarasi-zona-aviatiei-2466605.html
CAS,CMP,4,100,250,2020,miroslava,89900,https://homezz.ro/vila-cu-4-camere-in-zona-centrala-din-miroslava-2057143.html
CAS,CMP,5,123,320,2021,bucium,109500,https://homezz.ro/vila-bucium-2406098.html
CAS,CMP,5+,115,320,1960,sararie,230000,https://homezz.ro/casa-zona-sararie-teren-320mp-2425153.html
CAS,CMP,4,115,450,2020,valea-adanca,110000,https://homezz.ro/casa-individuala-4-camere-beci-450mp-curte-2112117.html
CAS,CMP,5+,150,370,2000,centru-civic,250000,https://homezz.ro/vila-fundatie-centru-2406907.html
CAS,CMP,5,130,700,2019,bucium,83000,https://homezz.ro/vila-5-camere-tip-duplexbuciumplopii-fara-sot-2425189.html
CAS,CMP,5,140,460,2021,bucium,117000,https://homezz.ro/casa-140m-finisaje-premium-intabulata-zona-linistita-2446416.html
CAS,CMP,4,106,410,2020,copou,99900,https://homezz.ro/vila-individuala-4-camere-breazu-centru-2182059.html
CAS,CMP,4,110,440,2020,miroslava,105000,https://homezz.ro/vila-4-camere-110mp-utili-miroslava-2316800.html
