tip_proprietate,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret
APT,3,65,65,1985,tudor-vladimirescu,314389
CAS,6,554,968,2000,tatarasi,1800000
CAS,6,554,968,2000,tatarasi-nord,1800000
CAS,9,365,750,2004,centru-civic,1500000
CAS,9,530,10000,2011,bucium,1234567
CAS,5,560,1350,1859,copou,1000000
CAS,14,510,3200,1890,tatarasi,800000
CAS,10,510,3200,1890,tatarasi-nord,800000
CAS,7,335,515,2010,bucium,620000
CAS,7,335,515,2010,bucium,620000
CAS,7,415,1260,2015,galata,580000
CAS,7,415,1260,2015,galata,580000
CAS,6,40,1000,2006,holboca,551786
CAS,5,362,675,2005,tatarasi,550000
APT,1,40,40,2020,copou,532800
APT,4,375,375,2021,copou,525000
APT,4,165,165,2020,copou,525000
CAS,7,253,600,2000,moara-de-vant,525000
CAS,7,253,600,2000,moara-de-vant,525000
CAS,6,370,1600,2019,copou,500000
CAS,8,370,1600,2020,pacurari,500000
CAS,6,600,500,2010,centru,500000
CAS,10,461,329,1940,centru,500000
CAS,11,925,4000,2003,tomesti,490000
CAS,10,925,4000,2003,centru,490000
CAS,8,490,500,2002,centru-civic,489000
CAS,10,461,340,1950,centru,475000
CAS,12,400,600,2000,copou,469000
CAS,4,140,376,1930,copou,440000
APT,3,358,358,2020,tudor-vladimirescu,416500
CAS,10,480,1285,2008,bucium,410000
CAS,10,480,1285,2008,centru,410000
CAS,10,320,800,2010,copou,400000
CAS,8,270,700,2017,nicolina,400000
CAS,8,270,700,2017,nicolina,400000
CAS,5,270,700,2016,cug,400000
CAS,10,400,350,2006,tatarasi,400000
CAS,10,400,350,2006,tatarasi-sud,400000
CAS,5,242,1240,2014,periferie,398000
CAS,10,270,1200,2008,sararie,397000
CAS,10,380,271,2019,centru,395000
CAS,10,480,1285,2008,bucium,390000
CAS,10,480,1285,2008,centru,390000
CAS,9,380,900,2010,tatarasi,390000
CAS,4,130,412,2008,copou,390000
CAS,4,130,412,2008,copou,390000
CAS,4,130,412,2008,copou,389000
CAS,6,300,460,2010,valea-lupului,388000
CAS,5,217,2000,2009,popas-pacurari,385000
CAS,5,217,2000,2009,popas-pacurari,385000
CAS,5,217,2000,2009,valea-lupului,385000
CAS,5,217,2000,2009,valea-lupului,385000
CAS,5,365,1000,2006,bucium,385000
APT,4,368.8,368.8,2019,tudor-vladimirescu,380000
CAS,5,350,900,2008,cug,380000
CAS,6,380,850,2010,nicolina,380000
CAS,6,257,845,2008,cug,380000
APT,3,144,144,2015,copou,370000
APT,3,144,144,2015,copou,370000
CAS,5,383,1500,2010,frumoasa,370000
CAS,5,383,1500,2010,bucium,365000
CAS,5,365,1000,2006,bucium,365000
CAS,5,250,2500,2018,pacurari,350000
CAS,4,236,2500,2018,popas-pacurari,350000
CAS,3,309,2430,2018,pacurari,350000
CAS,5,250,2430,2018,popas-pacurari,350000
CAS,6,242,2430,2018,popas-pacurari,350000
CAS,6,242,2430,2018,valea-lupului,350000
CAS,5,240,2430,2016,popas-pacurari,350000
CAS,5,240,2430,2016,valea-lupului,350000
CAS,4,240,2000,2018,pacurari,350000
CAS,4,170,1238,2016,bucium,350000
CAS,4,330,1000,2005,bucium,350000
CAS,4,360,800,2012,bucium,350000
CAS,11,470,450,1900,central,350000
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,5,250,600,2016,galata,349900
CAS,4,170,4500,2015,bucium,340000
CAS,5,242,2400,2018,valea-lupului,340000
CAS,4,306,2500,2018,pacurari,320000
CAS,4,137,245,1930,sararie,320000
CAS,4,322,285,2021,tatarasi,315000
CAS,4,322,285,2021,tatarasi-nord,315000
APT,3,65,65,1985,frumoasa,314389
APT,10,404,404,2018,pacurari,310000
CAS,7,200,300,2015,moara-de-vant,310000
CAS,7,200,100,2009,tatarasi,310000
APT,3,199,199,2019,copou,307000
APT,3,199,199,2019,copou,307000
APT,3,199,199,2019,copou,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,295,744,2007,bucium,307000
CAS,6,290,745,2007,bucium,305000
CAS,6,290,745,2007,bucium,305000
CAS,6,280,745,2004,bucium,300000
CAS,6,280,745,2004,bucium,300000
CAS,6,290,600,2013,tatarasi,300000
CAS,6,290,600,2013,aviatiei,300000
CAS,3,100,150,1959,gara,299999
CAS,6,350,500,2008,popas-pacurari,298000
APT,4,200,200,2016,copou,295000
APT,4,155.43,155.43,2005,copou,295000
APT,4,155,155,2005,copou,295000
CAS,5,250,2700,2012,nicolina,290000
CAS,5,250,2700,2012,galata,290000
CAS,5,360,1107,2001,copou,290000
CAS,5,360,1107,2001,pacurari,290000
CAS,3,120,370,2021,tatarasi,290000
CAS,3,128,350,2020,tatarasi-nord,290000
CAS,4,140,250,2020,tatarasi-nord,290000
CAS,4,200,1060,2016,bucium,285000
CAS,2,113.42,342,1950,centru,285000
CAS,5,334,2600,2008,galata,280000
CAS,3,334,2600,2008,galata,280000
CAS,7,334,2600,2008,galata,280000
CAS,7,326,1000,2015,periferie,280000
CAS,6,326,650,2016,periferie,280000
CAS,6,200,600,2019,cug,280000
CAS,3,120,365,2020,moara-de-vant,280000
CAS,4,290,850,2007,bucium,279000
CAS,5,230,600,2020,valea-adanca,279000
CAS,7,320,2043,2015,bucium,275000
CAS,5,298,2004,2006,bucium,275000
CAS,6,270,1000,2012,bucium,275000
CAS,7,300,500,2003,central,275000
CAS,7,300,500,2003,bucium,275000
CAS,5,280,500,2020,pacurari,275000
CAS,6,200,1200,2012,popas-pacurari,270000
CAS,9,320,550,2011,popas-pacurari,270000
CAS,9,320,550,2011,popas-pacurari,270000
CAS,5,260,480,1995,agronomie,270000
CAS,6,115,320,1960,sararie,270000
APT,4,186,186,2019,moara-de-vant,269120
APT,4,186,186,2019,podul-de-fier,269120
CAS,5,254,400,2015,pacurari,269000
CAS,4,304,342,2020,copou,268500
APT,4,185,185,2018,tatarasi-nord,266800
APT,4,185,185,2018,podul-de-fier,266800
APT,4,210.2,210.2,2020,tudor-vladimirescu,265500
APT,4,200,200,2016,agronomie,265000
APT,4,200,200,2016,copou,265000
CAS,4,125,1550,2018,valea-lupului,265000
CAS,8,326,1000,2015,rediu,265000
CAS,6,190,1100,2018,valea-adanca,264000
APT,3,155,155,2019,copou,260000
CAS,6,190,575,2006,bucium,260000
CAS,6,190,575,2006,centru,260000
CAS,12,460,1300,1996,bucium,259000
CAS,8,290,704,2021,bucium,255000
APT,3,155,155,2019,copou,252000
APT,3,154.84,154.84,2019,copou,252000
APT,3,154.84,154.84,2019,copou,252000
APT,4,118,118,2019,tudor-vladimirescu,250000
APT,4,118,118,2019,tudor-vladimirescu,250000
APT,3,96,96,2016,tatarasi,250000
CAS,6,274.17,1000,2003,soseaua-pacurari,250000
CAS,6,266,1000,2000,popas-pacurari,250000
CAS,6,266,1000,2000,pacurari,250000
CAS,6,190,780,2015,strada-stefan-cel-mare,250000
CAS,4,200,400,2007,bucium,250000
CAS,5,185,400,2021,galata,250000
CAS,6,115,320,1960,copou,250000
CAS,7,250,290,2000,targu-cucu,250000
CAS,7,250,290,2000,centru,250000
CAS,7,225,1000,2002,central,249000
CAS,7,225,1000,2002,valea-lupului,249000
CAS,5,207.22,800,2006,bucium,249000
CAS,9,300,700,2003,bucium,249000
CAS,4,150,505,2019,nicolina,248900
CAS,3,113,360,1950,centru,248000
CAS,4,159,264,1936,copou,248000
APT,4,185,185,2019,moara-de-vant,246848
CAS,8,400,1000,2010,bucium,245000
CAS,8,400,1000,2010,bucium,245000
CAS,6,250,1000,2008,bucium,245000
CAS,6,250,1000,2008,manta-rosie,245000
CAS,4,126,804,1960,moara-de-vant,245000
CAS,4,126,804,1960,moara-de-vant,245000
APT,4,183,183,2019,moara-de-vant,243390
CAS,3,170,1000,2019,galata,240000
CAS,8,240,800,2010,nicolina,240000
CAS,8,240,800,2010,nicolina,240000
CAS,5,200,800,2016,popas-pacurari,240000
CAS,4,310,1000,2010,bucium,239000
CAS,5,145,640,2021,galata,239000
CAS,5,145,640,2020,galata,239000
CAS,5,145,640,2021,galata,239000
APT,3,115,115,1990,centru,230000
APT,3,115,115,1990,copou,230000
APT,2,63,63,2016,copou,230000
APT,2,63,63,2016,copou,230000
CAS,5,202,1168,2019,periferie,230000
CAS,5,180,850,2009,tesatura,230000
CAS,7,310,800,2009,central,230000
CAS,5,157,540,2020,copou,230000
CAS,5,180,500,2020,copou,230000
CAS,5,250,788,2005,popas-pacurari,229500
CAS,5,269,800,2007,bucium,225000
CAS,4,265,746,2007,bucium,225000
CAS,6,260,605,2009,popas-pacurari,225000
APT,3,200,200,2020,centru,220150
APT,3,200,200,2020,centru,220150
APT,3,115,115,1994,copou,220000
APT,3,100,100,1972,copou,220000
APT,3,100,100,1972,copou,220000
CAS,7,250,1000,2009,pacurari,220000
CAS,4,110,480,1960,copou,220000
CAS,7,320,500,2017,bucium,219000
APT,5,150,150,2019,copou,218225
CAS,5,220,900,2020,bucium,215000
CAS,6,220,900,2020,bucium,215000
CAS,6,220,900,2020,bucium,215000
CAS,5,200,900,2020,bucium,215000
CAS,5,160,600,2014,galata,215000
CAS,5,160,550,2014,galata,215000
CAS,5,160,504,2014,galata,215000
APT,3,165,165,2015,centru,210000
APT,3,165,165,2015,bucium,210000
CAS,9,600,3000,2019,lunca-cetatuii,210000
CAS,9,600,3000,2019,centru,210000
CAS,9,400,1350,2015,oancea,210000
CAS,9,400,1350,2015,cug,210000
CAS,7,350,1100,2008,bucium,210000
CAS,8,260,1000,2012,valea-adanca,210000
CAS,5,250,1000,2010,miroslava,210000
CAS,5,240,600,2017,bucium,210000
CAS,5,185,600,2021,valea-lupului,210000
CAS,5,160,576,2016,bucium,210000
CAS,5,220,540,2020,agronomie,210000
CAS,5,220,500,2020,pacurari,210000
CAS,5,220,500,2020,copou,210000
CAS,5,220,500,2020,pacurari,210000
CAS,5,176,500,2020,popas-pacurari,210000
CAS,5,140,500,2020,valea-lupului,210000
CAS,5,140,500,2020,valea-lupului,210000
APT,3,123.8,123.8,2021,copou,205700
APT,3,79.63,79.63,1980,centru,205000
CAS,5,237,500,2021,bucium,205000
CAS,5,155,500,2020,bucium,205000
APT,3,93.2,93.2,2021,centru-civic,202000
CAS,5,180,504,2020,popas-pacurari,202000
CAS,5,135,500,2020,popas-pacurari,202000
APT,3,112,112,2020,copou,200000
CAS,5,374,1150,2008,valea-adanca,200000
CAS,4,200,1000,2018,bucium,200000
CAS,4,195,650,2003,bucium,200000
CAS,5,195,625,2003,bucium,200000
CAS,4,220,500,2021,miroslava,200000
CAS,4,146,440,2020,galata,200000
CAS,4,146,440,2020,galata,200000
CAS,6,374,1150,2007,valea-adanca,199900
APT,4,135,135,2003,targu-cucu,199000
CAS,4,158.4,229,1960,uzinei,199000
APT,3,97.8,97.8,2019,tatarasi-nord,198000
APT,3,200.45,200.45,2020,central,195000
APT,3,182.7,182.7,2020,centru-civic,195000
CAS,4,130,410,2020,tatarasi,195000
CAS,4,130,410,2020,tatarasi,195000
CAS,4,130,410,2020,tatarasi,195000
CAS,4,130,410,2020,tatarasi-nord,195000
CAS,4,130,410,2020,tatarasi-nord,195000
CAS,4,130,410,2020,tatarasi-nord,195000
CAS,6,300,407,2017,valea-adanca,195000
CAS,5,112,150,2016,bucium,195000
CAS,5,112,149,2016,bucium,195000
CAS,6,150,400,2020,galata,190000
CAS,4,135,180,2000,moara-de-vant,190000
CAS,4,135,180,2000,moara-de-vant,190000
CAS,5,215,600,2020,bucium,189000
APT,4,140,140,2002,centru,187000
APT,3,171.7,171.7,2020,centru-civic,185000
APT,4,140,140,2002,podul-de-fier,185000
CAS,4,220,500,2009,miroslava,185000
CAS,5,185,500,2020,bucium,185000
CAS,5,185,500,2020,bucium,185000
CAS,3,130,369,2009,moara-de-vant,185000
CAS,4,115,300,2020,popas-pacurari,185000
CAS,4,110,300,2020,popas-pacurari,185000
CAS,5,121,242,2018,podu-ros,185000
CAS,5,121,242,2018,centru,185000
APT,4,91.96,91.96,2020,copou,184000
APT,3,80,80,2016,copou,183500
APT,3,80,80,2016,copou,183000
APT,3,80,80,2016,copou,183000
APT,3,55,55,2017,copou,183000
APT,3,55,55,2017,copou,183000
CAS,5,155,530,2016,valea-adanca,183000
CAS,5,155,530,2016,central,183000
CAS,5,155,530,2016,valea-adanca,183000
CAS,5,155,530,2016,valea-adanca,183000
CAS,5,155,530,2016,valea-adanca,183000
APT,5,125,125,2019,copou,181279
APT,5,126,126,2014,pacurari,180000
APT,5,126,126,2014,pacurari,180000
APT,5,126,126,2014,pacurari,180000
CAS,8,447,1500,2009,cug,180000
CAS,4,140,700,2018,bucium,180000
CAS,4,140,700,2018,bucium,180000
CAS,4,140,700,2018,centru,180000
CAS,4,140,700,2018,centru,180000
CAS,6,200,500,2020,galata,180000
CAS,6,200,500,2020,galata,180000
CAS,5,250,490,2011,visani,180000
CAS,3,140,455,1970,sararie,180000
CAS,3,140,455,1970,copou,180000
CAS,3,80,380,1970,centru,180000
CAS,3,93,373,2020,copou,180000
CAS,4,215,250,2016,galata,180000
CAS,3,140,250,2016,galata,180000
CAS,5,132,250,2014,galata,180000
CAS,5,132,250,2014,galata,180000
CAS,7,220,870,2006,valea-lupului,179900
CAS,5,120,600,2013,valea-lupului,179500
CAS,4,145,250,2016,galata,179500
CAS,4,145,250,2016,moara-de-vant,179500
CAS,4,220,1370,2009,bucium,179000
CAS,4,155,525,2017,valea-adanca,179000
CAS,5,175,500,2020,pacurari,176500
CAS,4,175,500,2020,pacurari,176500
APT,5,140,140,2017,pacurari,175000
CAS,6,187,750,2017,popas-pacurari,175000
CAS,6,200,600,2021,valea-adanca,175000
CAS,5,170,516,2011,valea-adanca,175000
CAS,6,160,505,2021,valea-adanca,175000
CAS,6,160,505,2020,valea-adanca,175000
CAS,6,160,505,2021,valea-adanca,175000
CAS,6,160,505,2020,valea-adanca,175000
CAS,6,160,504,2021,valea-adanca,175000
CAS,4,128,500,2021,breazu,175000
CAS,4,200,450,2010,bucium,175000
CAS,3,100,365,2020,sararie,175000
CAS,5,160,260,2021,valea-adanca,175000
CAS,4,170,720,2016,galata,174000
APT,4,119.6,119.6,2019,copou,173435
APT,3,102,102,2020,centru,173000
CAS,6,193,550,2012,popas-pacurari,172000
APT,3,93.1,93.1,2021,centru-civic,171500
APT,3,101,101,2020,centru-civic,170000
CAS,4,296,1200,2018,bucium,170000
CAS,4,296,1200,2018,paun,170000
CAS,4,210,500,2019,cug,170000
CAS,4,155,500,2010,popas-pacurari,170000
CAS,4,120,500,2020,breazu,170000
CAS,4,140,450,1965,centru-civic,170000
CAS,3,100,373,2020,sararie,170000
CAS,3,100,373,2020,copou,170000
CAS,3,94,373,2020,sararie,170000
CAS,3,94,373,2020,copou,170000
CAS,6,130,470,2020,central,169900
CAS,4,200,500,2012,valea-adanca,169000
CAS,4,135,500,2020,moara-de-vant,169000
CAS,4,115,250,2018,popas-pacurari,169000
CAS,4,115,250,2018,soseaua-pacurari,169000
CAS,4,115,250,2018,pacurari,169000
CAS,4,114,250,2018,valea-lupului,169000
CAS,4,114,250,2018,valea-lupului,169000
APT,3,123,123,2020,gara,168980
CAS,4,115,250,2019,popas-pacurari,168000
APT,4,103,103,1950,centru,166800
APT,3,146,146,2010,copou,165000
APT,3,146,146,2010,copou,165000
APT,3,146,146,2010,copou,165000
APT,3,146,146,2010,copou,165000
APT,3,146,146,2010,copou,165000
APT,3,146,146,2010,copou,165000
APT,3,115,115,2016,centru,165000
APT,3,115,115,2016,copou,165000
APT,3,111,111,2018,tudor-vladimirescu,165000
CAS,6,250,7554,2017,nicolina,165000
CAS,5,190,900,2007,cug,165000
CAS,4,215,800,2008,bucium,165000
CAS,5,170,720,2012,galata,165000
CAS,8,202,700,2019,cug,165000
CAS,4,188,629,1930,pacurari,165000
CAS,4,200,600,2010,valea-adanca,165000
CAS,4,124,426,2021,copou,165000
CAS,4,120,350,2020,popas-pacurari,165000
CAS,4,120,350,2021,popas-pacurari,165000
CAS,4,120,350,2021,popas-pacurari,165000
CAS,4,119,340,2021,galata,165000
CAS,3,65,250,1975,central,165000
CAS,3,65,250,1975,uzinei,165000
CAS,3,100,50,2000,centru-civic,165000
CAS,4,160,500,2015,valea-adanca,164999
CAS,4,140,320,1962,tatarasi,164900
CAS,4,110,320,1940,tatarasi-nord,164900
CAS,4,110,110,1940,tatarasi,164900
CAS,6,185,750,2017,pacurari,164000
CAS,4,110,300,2018,bucium,163000
CAS,4,115,205,2016,bucium,163000
CAS,4,115,205,2016,bucium,163000
CAS,4,120,200,2019,bucium,163000
CAS,5,130,460,2010,bucium,162000
APT,3,172,172,2019,centru-civic,160000
CAS,6,200,600,2000,central,160000
CAS,6,200,600,2000,frumoasa,160000
CAS,6,200,600,2008,frumoasa,160000
CAS,5,160,500,2010,bucium,160000
CAS,5,160,500,2010,bucium,160000
CAS,5,130,500,2010,bucium,160000
CAS,5,130,500,2010,bucium,160000
CAS,4,118.4,320,2020,galata,160000
CAS,4,119,300,2020,nicolina,160000
CAS,4,120,200,2020,copou,160000
APT,5,168.25,168.25,2020,canta,159000
CAS,5,130,1000,2015,cug,159000
CAS,7,250,750,2017,valea-lupului,159000
CAS,6,150,700,2015,popas-pacurari,159000
CAS,6,230,522,2006,popas-pacurari,159000
CAS,5,170,509,2015,copou,159000
CAS,4,170,500,2020,bucium,159000
CAS,4,160,500,2021,bucium,159000
CAS,5,120,480,2015,visani,159000
CAS,7,137.35,400,2005,tatarasi,159000
CAS,7,137,400,2005,tatarasi-nord,159000
APT,3,90.1,90.1,2021,copou,158600
CAS,4,147,490,2012,cug,158000
CAS,4,147,490,2012,cug,158000
APT,4,127,127,2019,aviatiei,157000
CAS,4,150,420,2013,valea-adanca,156000
APT,4,217,217,2020,bucium,155000
APT,5,217,217,2020,bucium,155000
APT,3,122.8,122.8,2020,centru-civic,155000
APT,3,90,90,2014,copou,155000
CAS,3,114,2958,2010,valea-adanca,155000
CAS,3,133,580,2017,pacurari,155000
CAS,5,120,550,2021,breazu,155000
CAS,4,160,500,2010,bucium,155000
CAS,5,155,500,2021,bucium,155000
CAS,5,155,500,2021,bucium,155000
CAS,5,143,500,2020,bucium,155000
CAS,5,143,500,2020,bucium,155000
CAS,5,143,500,2020,bucium,155000
CAS,8,130,500,2010,bucium,155000
CAS,4,118,400,2020,galata,155000
CAS,4,135,350,2020,central,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,115,320,2020,galata,155000
CAS,4,133,300,2021,galata,155000
CAS,4,133,300,2021,galata,155000
CAS,4,118,300,2020,galata,155000
CAS,4,114,300,2020,miroslava,155000
CAS,4,115,270,2021,galata,155000
CAS,4,113,230,2020,galata,155000
CAS,4,115,220,2021,galata,155000
CAS,4,120,200,2020,agronomie,155000
CAS,4,120,200,2020,copou,155000
CAS,5,155,500,2020,bucium,154900
CAS,4,140,400,1976,tatarasi,154500
CAS,4,140,400,1976,tatarasi-nord,154500
APT,4,134,134,2018,tudor-vladimirescu,153540
CAS,5,133,700,2020,pietrarie,152000
APT,4,128,128,2020,pacurari,151450
APT,4,128,128,2020,pacurari,151450
APT,3,202,202,2021,moara-de-vant,151430
APT,3,92,92,1972,copou,151000
APT,2,70.76,70.76,2020,centru-civic,150150
APT,3,113,113,2020,pacurari,150000
APT,3,113,113,2019,pacurari,150000
APT,4,109,109,1984,nicolina,150000
APT,3,100,100,2020,moara-de-vant,150000
APT,3,100,100,2020,podul-de-fier,150000
APT,3,80,80,1984,centru,150000
APT,3,80,80,1987,centru,150000
APT,3,80,80,1986,centru,150000
APT,3,79.82,79.82,2010,copou,150000
APT,3,75,75,1980,copou,150000
APT,3,75,75,1970,copou,150000
APT,3,75,75,1977,copou,150000
APT,3,75,75,1970,copou,150000
APT,3,75,75,1973,copou,150000
APT,3,75,75,1980,copou,150000
APT,3,75,75,1973,copou,150000
APT,3,75,75,1977,copou,150000
APT,3,70,70,1982,centru-civic,150000
CAS,5,174,686,2021,cug,150000
CAS,5,150,650,2021,periferie,150000
CAS,5,145,650,2021,rediu,150000
CAS,4,118,630,2017,valea-adanca,150000
CAS,4,118,620,2017,valea-adanca,150000
CAS,3,92,600,2018,valea-adanca,150000
CAS,4,120,560,2021,valea-adanca,150000
CAS,4,125,550,2021,valea-adanca,150000
CAS,4,120,550,2021,valea-adanca,150000
CAS,4,180,250,2016,frumoasa,150000
CAS,2,80,250,1980,central,150000
APT,3,88,88,1980,centru,149990
APT,3,88,88,1980,central,149990
APT,3,75,75,1970,copou,149900
CAS,5,180,1000,2008,bucium,149900
CAS,4,210,520,2018,valea-adanca,149900
CAS,5,150,500,2010,bucium,149900
CAS,5,150,500,2010,bucium,149900
APT,6,130,130,2018,bucium,149000
APT,3,79,79,2014,copou,149000
CAS,7,420,1300,2008,bucium,149000
CAS,7,420,1300,2008,centru,149000
CAS,7,380,900,2018,bucium,149000
APT,4,105,105,1989,alexandru-cel-bun,148000
APT,4,105,105,1989,alexandru-cel-bun,148000
APT,2,155,155,2020,pacurari,147000
APT,2,155,155,2020,pacurari,147000
CAS,4,140,509,2020,valea-lupului,147000
CAS,4,160,500,2015,cug,147000
CAS,5,135,500,2020,popas-pacurari,147000
CAS,4,135,500,2020,popas-pacurari,147000
APT,2,81,81,2019,podu-ros,145390
APT,3,81,81,2019,tesatura,145390
APT,3,80.9,80.9,2019,central,145390
APT,2,80.9,80.9,2019,central,145390
APT,3,80,80,2019,central,145390
APT,3,78,78,2019,copou,145330
APT,3,110,110,1986,nicolina,145000
APT,3,83,83,1970,copou,145000
APT,3,83,83,1970,copou,145000
CAS,6,150,750,2010,popas-pacurari,145000
CAS,5,150,600,2020,dorobant,145000
CAS,5,145,500,2020,galata,145000
CAS,5,145,500,2020,uzinei,145000
CAS,6,145,500,2010,galata,145000
CAS,4,150,350,1940,pacurari,145000
CAS,4,150,350,1940,pacurari,145000
CAS,4,138,100,2020,bucium,145000
APT,4,98,98,2020,pacurari,143650
APT,4,127,127,2019,tatarasi,143582
CAS,4,130,450,2017,valea-adanca,143000
CAS,4,130,450,2017,valea-adanca,143000
APT,3,122.8,122.8,2020,centru-civic,142000
APT,4,110,110,2019,moara-de-vant,141700
APT,4,110,110,2019,podul-de-fier,141700
APT,3,70.76,70.76,2020,centru-civic,141700
APT,3,115,115,2018,tudor-vladimirescu,141172
APT,3,82.44,82.44,2019,tudor-vladimirescu,141000
APT,3,200,200,2018,popas-pacurari,140000
APT,3,84,84,2018,central,140000
APT,3,82,82,2019,tudor-vladimirescu,140000
APT,3,68.05,68.05,2021,copou,140000
CAS,4,220,615,2010,frumoasa,140000
CAS,4,160,500,2017,galata,140000
CAS,4,140,400,2020,moara-de-vant,140000
CAS,4,135,400,2017,bucium,140000
CAS,4,162,350,2021,galata,140000
CAS,4,162,350,2020,galata,140000
CAS,5,133,680,2020,bucium,139900
CAS,5,125,500,2020,bucium,139500
APT,4,90,90,1986,moara-de-vant,139000
APT,3,84,84,2018,tudor-vladimirescu,139000
APT,3,83,83,2019,tudor-vladimirescu,139000
APT,3,82,82,2019,tudor-vladimirescu,139000
APT,3,82,82,2019,tudor-vladimirescu,139000
APT,3,68.33,68.33,2018,tudor-vladimirescu,139000
CAS,3,170,640,2011,bucium,139000
CAS,8,170,620,2020,horpaz,139000
CAS,8,180,600,2020,central,139000
CAS,4,115,360,2021,popas-pacurari,139000
APT,3,80.45,80.45,2017,tudor-vladimirescu,138500
CAS,5,140,1200,2015,valea-adanca,138000
CAS,5,140,1200,2015,cug,138000
CAS,4,130,663,2020,central,138000
CAS,4,130,663,2020,central,138000
APT,3,83,83,2019,tudor-vladimirescu,137000
APT,4,104,104,1984,moara-de-foc,136900
APT,3,80,80,2019,podu-ros,136285
APT,3,80,80,2019,central,136285
APT,3,103,103,2020,tudor-vladimirescu,135266
APT,4,90,90,1990,centru,135000
APT,4,90,90,1980,strada-arcu,135000
APT,3,90,90,1980,central,135000
APT,4,90,90,1990,arcu,135000
APT,3,90,90,1983,centru-civic,135000
APT,3,75,75,1979,centru,135000
APT,4,83,83,1983,canta,135000
APT,4,83,83,1983,moara-de-foc,135000
CAS,5,200,635,2004,bucium,135000
CAS,5,200,635,2004,bucium,135000
CAS,5,200,635,2003,bucium,135000
CAS,4,160,600,2014,valea-lupului,135000
CAS,4,150,600,2016,rediu,135000
CAS,5,120,500,2021,central,135000
CAS,4,119,500,2021,miroslava,135000
CAS,5,135,480,2020,tatarasi-nord,135000
CAS,4,118,400,2020,galata,135000
CAS,4,110,400,2021,popas-pacurari,135000
CAS,4,141,365,2021,valea-adanca,135000
CAS,4,141,365,2021,valea-adanca,135000
CAS,4,130,360,2018,miroslava,135000
CAS,4,115,350,2018,centru,135000
CAS,4,110,350,2016,bucium,135000
CAS,4,107,340,2020,popas-pacurari,135000
CAS,4,119,240,2021,galata,135000
CAS,4,118,240,2020,galata,135000
CAS,4,118,240,2020,galata,135000
CAS,4,118,240,2021,galata,135000
CAS,5,152,200,2020,bucium,135000
APT,3,99.5,99.5,2022,copou,134982
APT,3,82,82,2020,copou,134500
APT,3,82,82,2019,copou,134500
APT,3,82,82,2020,copou,134500
APT,3,80.65,80.65,2019,copou,134290
APT,3,103,103,2018,tudor-vladimirescu,134000
APT,2,67,67,2020,tudor-vladimirescu,133600
APT,3,116,116,2022,agronomie,133500
APT,3,116,116,2022,copou,133500
APT,3,115,115,2022,copou,133500
CAS,4,115,340,2020,ticau,133280
APT,3,116,116,2019,central,133000
CAS,4,110,520,2014,miroslava,133000
CAS,4,100,520,2014,miroslava,133000
CAS,4,110,370,2020,popas-pacurari,133000
CAS,3,110,200,1928,central,133000
CAS,3,110,200,1928,tatarasi-nord,133000
CAS,4,110,522,2014,miroslava,132999
APT,3,72,72,2020,tatarasi,132266
APT,3,103,103,2019,tudor-vladimirescu,132205
APT,3,72.03,72.03,2019,tudor-vladimirescu,132205
APT,3,72,72,2019,tudor-vladimirescu,132205
CAS,3,120,600,2020,breazu,132000
CAS,4,119,500,2021,central,132000
CAS,5,290,300,2017,lunca-cetatuii,132000
APT,3,97,97,2022,copou,131590
CAS,5,133,175,2019,agronomie,131500
CAS,5,133,175,2019,agronomie,131500
APT,3,91,91,2019,copou,131283
APT,3,75.8,75.8,2020,centru-civic,130476
APT,3,167,167,2020,valea-lupului,130000
APT,3,167,167,2020,pacurari,130000
APT,4,134,134,2008,tatarasi,130000
APT,4,130,130,2010,centru,130000
APT,4,130,130,2010,tatarasi,130000
APT,4,110,110,1969,copou,130000
APT,3,90,90,2018,agronomie,130000
APT,3,90,90,2019,agronomie,130000
APT,3,90,90,2019,copou,130000
APT,3,77,77,1979,centru,130000
APT,3,77,77,1979,centru,130000
APT,3,77,77,1979,central,130000
APT,3,77,77,1979,central,130000
APT,3,68,68,1980,copou,130000
APT,3,67,67,1990,centru,130000
