tip_proprietate,tip_tranzactie,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret,link
APT,INC,1,34,34,1988,nicolina,280,https://homezz.ro/apartament-o-camera-modern-lux-nicolina-2495457.html
APT,INC,2,50,50,1980,tudor-vladimirescu,250,https://homezz.ro/apartament-2-camere-tudor-vladimirescu-2266293.html
APT,INC,2,55,55,1980,nicolina,270,https://homezz.ro/nicolina-2-cam-dec-et-intermediar-2491095.html
APT,INC,2,52,52,1980,tatarasi,285,https://homezz.ro/2-cam-dec-tatarasi-cu-ct-2498871.html
APT,INC,2,50,50,1968,tudor-vladimirescu,300,https://homezz.ro/2-cam-decomandat-cu-ct-si-ac-in-bucsinescu-langa-statie-2451777.html
APT,INC,1,39,39,1988,arcu,300,https://homezz.ro/apartament-mobilat-si-utilat-semicentral-billa-2402996.html
APT,INC,1,40,40,1986,arcu,330,https://homezz.ro/semicentral-apartament-cu-1-camera-prima-inchiriere-2293893.html
APT,INC,2,50,50,1965,tudor-vladimirescu,250,https://homezz.ro/2-camere-tudor-vladimirescu-cu-ct-si-ac-2463142.html
APT,INC,1,40,40,1988,nicolina,200,https://homezz.ro/liber-apartament-1cam-nicolina-rond-vechi-etaj-1-2443077.html
APT,INC,2,54,54,1984,zimbru,250,https://homezz.ro/2d-zimbru-250euro-2422518.html
APT,INC,2,48,48,2020,tudor-vladimirescu,400,https://homezz.ro/prima-inchiriere-2-cam-tudorrivers-towerstotul-nou-2359413.html
APT,INC,2,58,58,1980,dacia,250,https://homezz.ro/ap-2-cam-decomandat-etajul-1-liber-dacia-2418726.html
APT,INC,3,80,80,1988,cug,350,https://homezz.ro/liber-apartament-3cam-decomandat-cug-aleea-tudor-neculai-2439952.html
APT,INC,2,60,60,1970,centru-civic,450,https://homezz.ro/ultracentral-hotel-ramada-2442734.html
APT,INC,2,28,28,1975,podu-ros,35000,https://homezz.ro/apartament-2-camere-podu-ros-2287747.html
APT,INC,2,32,32,1978,tatarasi,210,https://homezz.ro/apartament-2-camere-tatarasi-2406344.html
APT,INC,2,48,48,1968,tatarasi,180,https://homezz.ro/apartament-2-cam-sd-tatarasi-tudor-center-2501090.html
APT,INC,2,52,52,1970,tudor-vladimirescu,250,https://homezz.ro/2-camere-tudor-bulevard-cu-ct-si-ac-2487665.html
APT,INC,2,56,56,2015,bucium,265,https://homezz.ro/2-camere-bucium-2416660.html
APT,INC,2,52,52,1980,nicolina,270,https://homezz.ro/2-camere-nicolina-belvedere-2487682.html
APT,INC,1,40,40,2015,galata,250,https://homezz.ro/galatabloxygen-ap1cam-40mp-mobilat-si-utilat-complet-2447652.html
APT,INC,2,52,52,1983,gara,300,https://homezz.ro/apartament-2-camere-decomandat-cu-ct-gara-2469520.html
CAS,CMP,4,120,500,2020,popas-pacurari,110000,https://homezz.ro/casa-cu-4-camere-si-500mp-teren-popas-pacurari-1870061.html
CAS,CMP,5,120,480,2015,visani,159000,https://homezz.ro/vila-individuala-spatioasa-in-zona-bucium-visani-2455842.html
CAS,CMP,4,115,300,2020,popas-pacurari,170000,https://homezz.ro/casa-individuala-beci-incalzire-pardoseala-popas-pacurari-2342111.html
CAS,CMP,4,100,270,2020,valea-adanca,80500,https://homezz.ro/vila-noua-cu-4-camere-cu-vedere-spre-oras-2024695.html
CAS,CMP,4,110,300,2021,popas-pacurari,90000,https://homezz.ro/vile-cu-4-camere-incalzire-pardoseala-popas-pacurari-2480912.html
CAS,CMP,4,116,250,1990,popas-pacurari,95000,https://homezz.ro/casa-popas-pacurari-priveliste-deosebita-2477342.html
CAS,CMP,4,124,426,2021,copou,165000,https://homezz.ro/vila-individuala-cu-un-design-aparte-zona-breazu-2461681.html
CAS,CMP,4,120,350,2021,popas-pacurari,165000,https://homezz.ro/vila-individuala-cu-un-design-aparte-popas-pacurari-2367169.html
CAS,CMP,4,114,520,2021,copou,130000,https://homezz.ro/vila-single-cu-semineu-si-o-curte-generoasa-2445482.html
CAS,CMP,4,220,1670,2014,bucium,175000,https://homezz.ro/vila-eleganta-cu-1670mp-terenbarnova-2501800.html
CAS,CMP,4,91,450,2021,valea-adanca,92500,https://homezz.ro/vila-valea-adanca-4-camere-450-mp-teren-2434812.html
CAS,CMP,4,120,420,2021,copou,129900,https://homezz.ro/vila-finalizata-aproape-de-mijloacele-de-transport-2445486.html
CAS,CMP,3,90,197,1947,podul-de-fier,104900,https://homezz.ro/casa-4-camere-podu-de-fier-comision-0-2436446.html
CAS,CMP,3,84,340,2020,miroslava,75000,https://homezz.ro/casa-tip-duplex-3-camere-cu-posibilitatea-de-mansardare-2486159.html
CAS,CMP,4,85,400,2021,miroslava,85000,https://homezz.ro/casa-4-camere-430mp-teren-horpaz-cu-canalizare-2488534.html
CAS,CMP,4,100,270,2021,popas-pacurari,85000,https://homezz.ro/corp-triplex-4-camere-105-mp-popas-pacurari-2010878.html
CAS,CMP,4,97,500,2021,miroslava,86980,https://homezz.ro/comision-0-casa-individuala-valea-ursului-9695-mp-500m-2371420.html
CAS,CMP,4,115,480,2020,copou,107500,https://homezz.ro/casa-individuala-cu-4-camere-parteretaj-breazu-115-mp-2197520.html
CAS,CMP,4,86,310,2020,copou,87000,https://homezz.ro/casa-individuala-parter-breazu-86mp-2196377.html
CAS,CMP,4,120,330,2020,copou,97000,https://homezz.ro/casa-individuala-parter-mansarda-breazu-120-mp-2196426.html
